,Avg_Down,Avg_Up,Down_Perc_50,Down_Perc_75,Down_Perc_85,Down_Perc_90,Up_Perc_50,Up_Perc_75,Up_Perc_85,Up_Perc_90,res_50_perc,res_75_perc,res_85_perc,res_90_perc,res_avg,start_50_perc,start_75_perc,start_85_perc,start_90_perc,start_avg
test_3557,75.3217498506348,11.670541553903348,76.642,78.9497,79.17322,79.28356,10.3074,10.3857,10.423240000000002,10.44678,480.0,480.0,480.0,720.0,444.0255598831548,13.153001100000004,24.916796220000002,123.72775771999999,160.80655120000003,42.6063872651505
test_4988,131.11917805555555,83.9334448518112,115.729,150.89425,151.029,151.32760000000002,11.9191,158.045,158.386,158.676,480.0,480.0,480.0,480.0,480.0,4.11556345,4.134500029999998,4.148702464999999,4.15343661,4.11556345
test_5623,79.58996357601713,88.79211930232559,85.04939999999999,90.88985000000001,91.65692,92.1683,93.4512,93.9423,93.99366,94.11028,480.0,720.0,720.0,720.0,579.4996426018586,39.7452678,108.19259760000003,182.0510528,210.8483396,76.77035189728781
test_6025,64.04181835635359,60.78721792065662,93.24185,94.11707499999999,94.23926499999999,94.28941,93.63380000000001,94.02865,94.15105,94.2016,480.0,480.0,720.0,720.0,465.2718028940165,15.4808521,77.52229522,124.70222711999993,146.1152618,53.0757678064257
test_6172,49.778796944609894,43.86598345614036,22.8565,82.252,82.59247,82.71466000000001,1.932105,87.625125,87.78353,90.05265000000003,360.0,480.0,480.0,480.0,388.78849661980905,22.0327476,57.36433178999991,144.8499029,191.9326,59.29010318631168
test_6445,80.27965063157893,88.35680161750713,82.9828,83.08789999999999,83.13354000000001,83.16216,88.5089,88.84164999999999,89.05189999999999,89.2862,480.0,480.0,720.0,720.0,438.04132293952927,13.868192599999997,34.55819550000002,81.80521180000001,141.1432296,43.855491159566064
test_7234,94.10693863157896,32.49144162384378,112.034,114.036,114.33765,114.5638,36.4261,36.568400000000004,36.62362,36.64714,480.0,480.0,720.0,720.0,473.7465373961219,13.2355108,43.35221816,141.91320335000006,208.12814386,55.32134141571947
test_7384,69.33561580645161,5.97495186416185,71.09425,71.592,71.669455,71.72760000000001,5.980885,6.00775,6.020951500000001,6.029185,480.0,480.0,720.0,720.0,467.3817925194072,29.5587333,44.48715466999999,132.60930706499988,192.3885847,57.71223810536912
test_9655,68.90867066298343,5.4019059085963,69.45110000000001,69.99539999999999,70.09649999999999,70.15884,5.85145,5.870345,5.887881999999999,5.896344,480.0,480.0,480.0,480.0,480.0,63.604478400000005,63.604478400000005,63.604478400000005,63.604478400000005,63.604478400000005
test_9702,47.468294449838176,36.45038094043887,47.58805,49.863025,50.69329,51.365269999999995,35.995,36.111025,36.157644999999995,36.19333,480.0,480.0,720.0,720.0,459.94849785407723,25.4868347,43.18846400000001,162.67668596499965,239.54087564000025,61.12723362068064
